# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
    4249.643      501.500     2838.531     8049.574
    4259.664      509.300     2838.531     8049.574
    4269.680      512.100     2838.531     8049.574
    4279.704      504.900     2838.531     8049.574
    4289.723      511.700     2838.531     8049.574
    4299.742      510.500     2838.531     8049.574
    4309.768      512.600     2838.531     8049.574
    4319.791      507.200     2838.531     8049.574
    4329.808      512.200     2838.531     8049.574
    4339.830      517.700     2838.531     8049.574
    4349.854      518.000     2849.496     8061.574
    4359.884      515.200     2849.496     8061.574
    4369.907      509.000     2849.496     8061.574
    4379.933      505.600     2849.496     8061.574
    4389.954      510.200     2849.496     8061.574
    4399.981      477.500     2849.496     8061.574
    4410.004      487.300     2849.496     8061.574
    4420.029      475.800     2849.496     8061.574
    4430.056      483.300     2849.496     8061.574
    4440.077      489.500     2849.496     8061.574
    4450.098      168.600     3974.707    17219.773
    4460.120      479.400     2850.531     8061.574
    4470.136      491.100     2850.531     8061.574
    4480.156      491.500     2850.531     8061.574
    4490.183      492.000     2850.531     8061.574
    4500.201      502.000     2850.531     8061.574
    4510.220      524.600     2850.531     8061.574
    4520.240      523.700     2850.531     8061.574
    4530.249      514.600     2850.531     8061.574
    4540.272      512.500     2850.531     8061.574
    4550.288      511.400     2850.531     8061.574
    4560.306      503.800     2850.531     8061.574
    4570.331      509.200     2850.531     8061.574
    4580.357      517.700     2850.531     8061.574
    4590.382      521.400     2850.531     8061.574
    4600.400      510.200     2850.531     8061.574
    4610.428      484.900     2850.531     8061.574
    4620.456      476.800     2850.531     8061.574
    4630.484      484.400     2850.531     8061.574
    4640.504      477.600     2850.531     8061.574
    4650.532      485.400     2850.531     8061.574
    4660.562      482.400     2850.531     8061.574
    4670.582      262.800     3584.891    14780.395
    4680.608      399.100     2850.527     8061.574
    4690.630      508.800     2850.527     8061.574
    4700.652      500.800     2850.527     8061.574
    4710.678      480.700     2850.527     8061.574
    4720.703      478.100     2850.527     8061.574
    4730.728      477.200     2850.527     8061.574
    4740.748      481.600     2850.527     8061.574
    4750.769      480.100     2850.527     8061.574
    4760.788      504.600     2850.527     8061.574
    4770.812      506.100     2850.527     8061.574
    4780.832      509.800     2850.527     8061.574
    4790.851      508.600     2850.527     8061.574
    4800.872      518.900     2850.527     8061.574
    4810.890      517.400     2850.527     8061.574
    4820.916      511.800     2850.527     8061.574
    4830.944      509.100     2850.527     8061.574
    4840.968      511.400     2850.527     8061.574
    4850.993      509.200     2850.527     8061.574
    4861.012      516.800     2850.527     8061.574
    4871.032      519.400     2850.527     8061.574
    4881.056      518.600     2850.527     8061.574
    4891.077      436.300     3112.098    10323.453
    4901.100      228.700     2850.531     8061.574
    4911.120      474.100     2850.531     8061.574
    4921.144      480.800     2850.531     8061.574
    4931.169      478.100     2850.531     8061.574
    4941.192      476.600     2850.531     8061.574
    4951.215      476.400     2850.531     8061.574
    4961.243      511.300     2850.531     8061.574
    4971.267      513.300     2850.531     8061.574
    4981.284      512.800     2850.531     8061.574
    4991.300      511.200     2850.531     8061.574
    5001.322      506.000     2850.531     8061.574
    5011.340      498.000     2850.531     8061.574
    5021.364      521.500     2850.531     8061.574
    5031.383      514.800     2850.531     8061.574
    5041.408      520.600     2850.531     8061.574
    5051.426      503.000     2850.531     8061.574
    5061.450      514.600     2850.531     8061.574
    5071.476      512.400     2850.531     8061.574
    5081.500      510.800     2850.531     8061.574
    5091.523      514.500     2850.531     8061.574
    5101.544      506.500     2850.531     8061.574
    5111.560      514.200     2850.531     8061.574
    5121.580      188.200     3805.301    15096.609
    5131.600      467.400     2850.531     8061.574
    5141.624      503.200     2850.531     8061.574
    5151.649      503.000     2850.531     8061.574
    5161.675      479.300     2850.531     8061.574
    5171.696      479.400     2850.531     8061.574
    5181.724      479.000     2850.531     8061.574
    5191.748      499.400     2850.531     8061.574
    5201.773      512.200     2850.531     8061.574
    5211.792      519.900     2850.531     8061.574
    5221.813      513.500     2850.531     8061.574
    5231.839      512.800     2850.531     8061.574
    5241.865      511.600     2850.531     8061.574
    5251.883      486.900     2850.531     8061.574
    5261.901      485.000     2850.531     8061.574
    5271.928      480.400     2850.531     8061.574
    5281.946      481.400     2850.531     8061.574
    5291.973      494.400     2850.531     8061.574
    5301.997      487.600     2850.531     8061.574
    5312.023      484.200     2850.531     8061.574
    5322.048      477.900     2850.531     8061.574
    5332.073      485.300     2850.531     8061.574
    5342.101      269.500     3559.926    12840.785
    5352.125      353.700     2850.531     8061.574
    5362.145      513.200     2850.531     8061.574
    5372.167      511.400     2850.531     8061.574
    5382.193      508.000     2850.531     8061.574
    5392.218      504.500     2850.531     8061.574
    5402.235      512.800     2850.531     8061.574
    5412.260      528.400     2850.531     8061.574
    5422.286      527.900     2850.531     8061.574
    5432.312      525.900     2850.531     8061.574
    5442.331      507.900     2850.531     8061.574
    5452.356      512.100     2850.531     8061.574
    5462.381      509.600     2850.531     8061.574
    5472.407      515.300     2850.531     8061.574
    5482.433      516.400     2850.531     8061.574
    5492.455      515.200     2850.531     8061.574
    5502.480      512.000     2850.531     8061.574
    5512.500      497.900     2850.531     8061.574
    5522.524      486.700     2850.531     8061.574
